"";"x"
"1";"Threonine"
"2";"X4MTB"
"3";"X6MTH"
"4";"BenzoylGlucosinolate.3Breakdown"
"5";"Nonanenitrile.9.methylthio"
"6";"Threonate"
"7";"Allantoin"
"8";"U1270.1.240"
"9";"U2012.7.361"
"10";"U2798.377"
