"";"x"
"1";"AT1G07985.1"
"2";"AT1G08830.1"
"3";"AT1G18500.1"
"4";"AT1G22300.1"
"5";"AT3G02530.1"
"6";"AT3G53990.1"
"7";"AT4G27520.1"
