"";"x"
"1";"AT1G03030.1"
"2";"AT1G07985.1"
"3";"AT1G08830.1"
"4";"AT1G18500.1"
"5";"AT1G22300.1"
"6";"AT1G43170.1"
"7";"AT1G53750.1"
"8";"AT3G02530.1"
"9";"AT3G53990.1"
"10";"AT3G54400.1"
"11";"AT4G16155.1"
"12";"AT4G16210.1"
"13";"AT4G27520.1"
"14";"AT5G26830.1"
